,Discovery_Method,Discovery_Year,Solution_type,Planet_Orbital_Period_[day],Planet_Orbital_SemiMajorAxis_[day],Planet_Radius_[Earth_radius],Planet_Mass_[Earth_mass],Planet_Mass_Provenance,Planet_Eccentricity,Planet_Eq_Temperature_[K],Stellar_Effective_Temperature_[K],Stellar_Radius_[Solar_radius],Stellar_Mass_[Solar_mass],Stellar_Metallicity_[dex],Stellar_Metallicity_Radio,Stellar_Surface_Gravity_[log10(cm/s**2)],Number_Stars,Number_Planets,System_Distance_[pc],System_V_Magnitude,System_Ks_Magnitude,System_Gaia_Magnitude
1187,Transit,2013,Published Confirmed,31.884,,2.9,16.6,Mass,,,,1.03,1.1,,,4.46,1,3,1144.86,15.481,13.838,15.3648
1188,Transit,2013,Published Confirmed,48.646,,2.74,18.4,Mass,,,,1.03,1.1,,,,1,3,1144.86,15.481,13.838,15.3648
1189,Transit,2013,Published Confirmed,48.648,,2.8,16.3,Mass,,,,1.03,1.1,,,4.46,1,3,1144.86,15.481,13.838,15.3648
1190,Transit,2013,Published Confirmed,17.324,,2.92,87.3,Mass,,,,1.69,1.12,,,4.03,1,2,976.643,13.544,11.966,13.3884
1191,Transit,2013,Published Confirmed,17.324,,2.92,78.1,Mass,,,,1.69,1.12,,,,1,2,976.643,13.544,11.966,13.3884
1192,Transit,2013,Published Confirmed,33.006,,3.36,64.2,Mass,,,,1.69,1.12,,,4.03,1,2,976.643,13.544,11.966,13.3884
1193,Transit,2013,Published Confirmed,33.006,,3.36,39.6,Mass,,,,1.69,1.12,,,,1,2,976.643,13.544,11.966,13.3884
1194,Transit,2013,Published Confirmed,35.736,,4.3,49.4,Mass,,,,1.07,1.1,,,4.42,1,3,1037.4,13.647,12.509,13.5847
1195,Transit,2013,Published Confirmed,35.735,,5.5,7.4,Mass,,,,,1.2,,,,1,3,1037.4,13.647,12.509,13.5847
1196,Transit,2013,Published Confirmed,54.414,,3.1,37.5,Mass,,,,1.07,1.1,,,4.42,1,3,1037.4,13.647,12.509,13.5847
1197,Transit,2013,Published Confirmed,54.414,,4.3,4.5,Mass,,,,,1.2,,,,1,3,1037.4,13.647,12.509,13.5847
1198,Transit,2011,Published Confirmed,5.9123,0.062,3.6,479.9,Mass,,,4590.0,0.7,0.75,0.34,[M/H],4.29,1,2,438.359,15.13,12.719,15.0257
1199,Transit,2011,Published Confirmed,5.912,,2.93,8.8,Mass,,,,0.57,0.59,,,,1,2,438.359,15.13,12.719,15.0257
1200,Transit,2011,Published Confirmed,8.9858,0.081,3.4,432.23,Mass,,,4590.0,0.7,0.75,0.34,[M/H],4.29,1,2,438.359,15.13,12.719,15.0257
1201,Transit,2011,Published Confirmed,8.986,,2.77,10.9,Mass,,,,0.57,0.59,,,,1,2,438.359,15.13,12.719,15.0257
1202,Transit,2013,Published Confirmed,24.806,,2.46,61.0,Mass,,,,0.89,0.97,,,4.53,1,4,1337.61,15.444,13.65,15.1779
1203,Transit,2013,Published Confirmed,44.347,,3.1,56.2,Mass,,,,0.89,0.97,,,4.53,1,4,1337.61,15.444,13.65,15.1779
1204,Transit,2014,Published Confirmed,34.545,0.21,2.15,7.3,Mass,,,5990.0,1.0,1.08,0.05,[Fe/H],4.47,1,3,704.438,14.142,12.508,13.9628
1205,Transit,2014,Published Confirmed,125.8518,0.51,11.59,132.0,Mass,,,5990.0,1.0,1.08,0.05,[Fe/H],4.47,1,3,704.438,14.142,12.508,13.9628
1206,Transit,2014,Published Confirmed,125.865,,11.545,133.4886,Mass,,,6326.0,1.46,1.35,0.33,[Fe/H],,1,3,704.438,14.142,12.508,13.9628
1207,Transit,2014,Published Confirmed,66.0634,0.33,2.68,4.0,Mass,,,5990.0,1.0,1.08,0.05,[Fe/H],4.47,1,3,704.438,14.142,12.508,13.9628
1208,Transit,2011,Published Confirmed,10.33974,,2.55,5.0,Mass,0.0,,5378.0,0.73,0.76,-0.44,[Fe/H],4.6,1,2,832.532,15.547,13.657,15.2819
1209,Transit,2011,Published Confirmed,10.3376,0.09,3.6,127.1,Mass,,,5750.0,0.96,1.0,0.0,[Fe/H],5.0,1,2,832.532,15.547,13.657,15.2819
1210,Transit,2011,Published Confirmed,10.3384,,3.35,4.51,Mass,,,5701.0,0.93,0.98,-0.04,[Fe/H],,1,2,832.532,15.547,13.657,15.2819
1211,Transit,2011,Published Confirmed,13.2907,0.11,2.9,95.3,Mass,,,5750.0,0.96,1.0,0.0,[Fe/H],5.0,1,2,832.532,15.547,13.657,15.2819
1212,Transit,2011,Published Confirmed,13.2884,,3.14,4.0,Mass,,,5701.0,0.93,0.98,-0.04,[Fe/H],,1,2,832.532,15.547,13.657,15.2819
1213,Transit,2011,Published Confirmed,13.28613,,2.34,4.5,Mass,0.0,,5378.0,0.73,0.76,-0.44,[Fe/H],4.6,1,2,832.532,15.547,13.657,15.2819
1214,Transit,2014,Published Confirmed,38.868,,3.24,48.5,Mass,,,,1.04,1.04,,,,1,2,692.14,14.326,12.78,14.1922
1215,Transit,2014,Published Confirmed,74.924,,7.39,42.1,Mass,,,,1.04,1.04,,,,1,2,692.14,14.326,12.78,14.1922
1216,Transit,2012,Published Confirmed,29.329,0.18,3.6,63.566,Mass,,,5498.0,0.95,0.99,0.18,,4.77,1,3,914.221,15.726,13.581,15.3761
1217,Transit,2012,Published Confirmed,29.312,,3.56,78.6,Mass,,,,0.87,0.99,,,,1,3,914.221,15.726,13.581,15.3761
1218,Transit,2012,Published Confirmed,29.33434,0.18,3.9,11.3,Mass,0.042,,5498.0,0.95,0.99,0.18,[Fe/H],4.77,1,3,914.221,15.726,13.581,15.3761
1219,Transit,2012,Published Confirmed,29.323,,1.9,8.8,Mass,,,,,1.0,,,,1,3,914.221,15.726,13.581,15.3761
1220,Transit,2012,Published Confirmed,60.3251,0.3,14.3,2892.253,Mass,,,5498.0,0.95,0.99,0.18,,4.77,1,3,914.221,15.726,13.581,15.3761
1221,Transit,2012,Published Confirmed,60.323105,0.3,12.3,640.0,Mass,0.0111,,5498.0,0.95,0.99,0.18,[Fe/H],4.77,1,3,914.221,15.726,13.581,15.3761
1222,Transit,2012,Published Confirmed,60.326,,11.23,1603.8,Mass,,,,0.87,0.99,,,,1,3,914.221,15.726,13.581,15.3761
1223,Transit,2012,Published Confirmed,60.332,,13.1,527.7,Mass,,,,,1.0,,,,1,3,914.221,15.726,13.581,15.3761
1224,Transit,2012,Published Confirmed,143.213,0.5,10.6,5403.11,Mass,,,5498.0,0.95,0.99,0.18,,4.77,1,3,914.221,15.726,13.581,15.3761
1225,Transit,2012,Published Confirmed,143.34394,0.5,8.8,23.1,Mass,0.022,,5498.0,0.95,0.99,0.18,[Fe/H],4.77,1,3,914.221,15.726,13.581,15.3761
1226,Transit,2013,Published Confirmed,5.487,,3.66,7.2,Mass,,,,0.8,0.76,,,,1,4,868.477,15.851,13.702,15.7661
1227,Transit,2013,Published Confirmed,5.487,,3.6,10.5,Mass,,,,0.8,0.76,,,4.51,1,4,868.477,15.851,13.702,15.7661
1228,Transit,2013,Published Confirmed,8.291,,3.35,4.5,Mass,,,,0.8,0.76,,,,1,4,868.477,15.851,13.702,15.7661
1229,Transit,2013,Published Confirmed,8.291,,3.3,6.0,Mass,,,,0.8,0.76,,,4.51,1,4,868.477,15.851,13.702,15.7661
1230,Transit,2014,Published Confirmed,16.739,,2.7,9.1,Mass,,,,,0.8,,,,1,4,868.477,15.851,13.702,15.7661
1231,Transit,2013,Published Confirmed,10.416,,3.0,8.8,Mass,,,,,0.9,,,,1,2,575.581,14.149,12.321,14.0561
1232,Transit,2013,Published Confirmed,10.421,,3.01,8.81,Mass,,,,0.99,0.95,,,,1,2,575.581,14.149,12.321,14.0561
1233,Transit,2013,Published Confirmed,10.416,,3.2,3.1,Mass,,,,1.08,0.98,,,4.36,1,2,575.581,14.149,12.321,14.0561
1234,Transit,2013,Published Confirmed,10.4208,,2.43,7.44,Mass,,,5367.0,0.81,0.91,0.19,[Fe/H],,1,2,575.581,14.149,12.321,14.0561
1235,Transit,2013,Published Confirmed,10.416,,3.21,2.1,Mass,,,,1.08,0.98,,,,1,2,575.581,14.149,12.321,14.0561
1236,Transit,2013,Published Confirmed,13.084,,2.7,3.9,Mass,,,,,0.9,,,,1,2,575.581,14.149,12.321,14.0561
1237,Transit,2013,Published Confirmed,13.084,,2.81,1.9,Mass,,,,1.08,0.98,,,,1,2,575.581,14.149,12.321,14.0561
1238,Transit,2013,Published Confirmed,13.0729,,2.2,3.64,Mass,,,5367.0,0.81,0.91,0.19,[Fe/H],,1,2,575.581,14.149,12.321,14.0561
1239,Transit,2013,Published Confirmed,13.084,,2.8,1.5,Mass,,,,1.08,0.98,,,4.36,1,2,575.581,14.149,12.321,14.0561
1240,Transit,2013,Published Confirmed,13.073,,2.72,3.9,Mass,,,,0.99,0.95,,,,1,2,575.581,14.149,12.321,14.0561
1241,Transit,2011,Published Confirmed,42.6318,0.26,5.3,1493.7,Mass,,,6340.0,1.22,1.21,-0.076,[Fe/H],4.7,1,3,1664.64,15.496,13.871,15.224
1242,Transit,2011,Published Confirmed,42.632,,4.71,29.5,Mass,,,,1.16,1.19,,,,1,3,1664.64,15.496,13.871,15.224
1243,Transit,2014,Published Confirmed,87.6451,0.4,3.9,2161.244,Mass,,,6340.0,1.22,1.21,-0.076,[Fe/H],4.7,1,3,1664.64,15.496,13.871,15.224
1244,Transit,2014,Published Confirmed,92.874,,2.1,7.0,Mass,,,,,1.0,,,,1,3,602.268,14.376,12.626,14.265
1245,Transit,2014,Published Confirmed,5.524,,2.08,109.8,Mass,,,,0.94,0.98,,,,1,2,940.584,15.665,13.668,15.4571
1246,Transit,2011,Published Confirmed,5.901,,2.25,9.4,Mass,,,,0.53,0.57,,,,1,5,323.847,16.36,12.757,15.8123
1247,Transit,2011,Published Confirmed,5.90124,0.05,2.2,1303.0,Mass,,,3900.0,0.53,0.58,0.0,[Fe/H],4.64,1,5,323.847,16.36,12.757,15.8123
1248,Transit,2011,Published Confirmed,8.7522,0.09,2.0,158.9,Mass,,,3900.0,0.53,0.58,0.0,[Fe/H],4.64,1,5,323.847,16.36,12.757,15.8123
1249,Transit,2011,Published Confirmed,8.752,,2.02,7.7,Mass,,,,0.53,0.57,,,,1,5,323.847,16.36,12.757,15.8123
1250,Transit,2014,Published Confirmed,1.678,,1.67,684.4,Mass,,,,1.38,1.12,,,,1,2,454.883,12.78,11.354,12.658
1251,Transit,2014,Published Confirmed,3.554,,1.9,79.7,Mass,,,,1.38,1.12,,,,1,2,454.883,12.78,11.354,12.658
1252,Transit,2014,Published Confirmed,2.248,,3.03,44.6,Mass,,,,1.59,0.93,,,,1,3,487.675,13.734,11.673,13.6788
1253,Transit,2014,Published Confirmed,4.58,,2.79,17.4,Mass,,,,1.59,0.93,,,,1,3,487.675,13.734,11.673,13.6788
1254,Transit,2014,Published Confirmed,6.767,,2.41,6.9,Mass,,,,1.59,0.93,,,,1,3,487.675,13.734,11.673,13.6788
1255,Transit,2014,Published Confirmed,5.212,,1.18,20.3,Mass,,,,0.54,0.58,,,,1,3,241.987,15.611,11.956,14.9804
1256,Transit,2013,Published Confirmed,34.921,,2.3,28.5,Mass,,,,1.06,1.15,,,4.44,1,2,2213.19,15.794,14.187,15.6036
1257,Transit,2013,Published Confirmed,71.312,,5.4,39.4,Mass,,,,1.06,1.15,,,4.44,1,2,2213.19,15.794,14.187,15.6036
1258,Transit,2011,Published Confirmed,13.176,,2.6,0.39,Mass,,,,1.69,1.1,,,,1,5,1209.16,14.099,12.591,13.9513
1259,Transit,2011,Published Confirmed,21.776,,4.58,3.91,Mass,,,,1.69,1.1,,,,1,5,1209.16,14.099,12.591,13.9513
1260,Transit,2011,Published Confirmed,21.776,,4.98,11.7,Mass,,,,1.69,1.1,,,,1,5,1209.16,14.099,12.591,13.9513
1261,Transit,2011,Published Confirmed,21.776,,4.6,4.1,Mass,,,,,1.1,,,,1,5,1209.16,14.099,12.591,13.9513
1262,Transit,2011,Published Confirmed,31.784,,3.5,5.5,Mass,,,,,1.1,,,,1,5,1209.16,14.099,12.591,13.9513
1263,Transit,2011,Published Confirmed,31.784,,3.53,5.57,Mass,,,,1.69,1.1,,,,1,5,1209.16,14.099,12.591,13.9513
1264,Transit,2011,Published Confirmed,31.785,,3.74,12.8,Mass,,,,1.69,1.1,,,,1,5,1209.16,14.099,12.591,13.9513
1265,Transit,2011,Published Confirmed,41.028,,4.0,9.6,Mass,,,,,1.1,,,,1,5,1209.16,14.099,12.591,13.9513
1266,Transit,2011,Published Confirmed,41.029,,4.0,9.65,Mass,,,,1.69,1.1,,,,1,5,1209.16,14.099,12.591,13.9513
1267,Transit,2011,Published Confirmed,41.028,,4.15,25.2,Mass,,,,1.69,1.1,,,,1,5,1209.16,14.099,12.591,13.9513
1268,Transit,2014,Published Confirmed,12.551,,1.61,28.2,Mass,,,,0.64,0.67,,,,2,2,324.413,15.052,12.118,14.7212
1269,Transit,2014,Published Confirmed,13.727,,2.43,30.6,Mass,,,,1.74,1.14,,,,1,4,552.798,12.19,10.756,12.0828
1270,Transit Timing Variations,2014,Published Confirmed,9.341,,1.56,8.5,Mass,,,,1.74,1.14,,,,1,4,552.798,12.19,10.756,12.0828
1271,Transit,2014,Published Confirmed,6.988,,1.16,7.3,Mass,,,,0.81,0.88,,,,1,3,616.637,14.706,12.874,14.5134
1272,Transit,2014,Published Confirmed,10.558,,1.18,14.7,Mass,,,,0.81,0.88,,,,1,3,616.637,14.706,12.874,14.5134
1273,Transit,2011,Published Confirmed,288.822,1.0896,8.564,69.92,Mass,0.182,,5913.0,1.16,1.05,-0.07,[m/H],4.33,2,1,1800.82,15.087,13.238,14.8297
1274,Transit,2014,Published Confirmed,7.416,,0.8,0.5,Mass,,,,,0.7,,,,1,2,,14.344,11.551,14.0341
1275,Transit,2014,Published Confirmed,9.387,,1.3,2.2,Mass,,,,,0.7,,,,1,2,,14.344,11.551,14.0341
1276,Transit,2014,Published Confirmed,5.93,,1.86,94.5,Mass,,,,0.91,1.0,,,,1,2,940.724,14.915,13.176,14.7211
1277,Transit,2011,Published Confirmed,131.458,0.60347,8.16,40.363,Mass,0.042,,5606.0,1.03,0.89,-0.34,[m/H],4.36,2,1,1819.17,15.863,13.875,15.7352
1278,Transit,2013,Published Confirmed,17.849,,3.1,6.1,Mass,,,,1.25,1.0,,,4.24,1,3,956.859,13.965,12.393,13.7606
1279,Transit,2013,Published Confirmed,17.848,,2.53,7.2,Mass,,,,1.25,1.0,,,,1,3,956.859,13.965,12.393,13.7606
1280,Transit,2013,Published Confirmed,26.136,,2.8,14.9,Mass,,,,1.25,1.0,,,4.24,1,3,956.859,13.965,12.393,13.7606
1281,Transit,2013,Published Confirmed,26.136,,2.28,14.8,Mass,,,,1.25,1.0,,,,1,3,956.859,13.965,12.393,13.7606
1282,Transit,2014,Published Confirmed,37.053,,3.03,4.8,Mass,,,,0.84,0.91,,,,1,3,1083.91,16.229,14.097,15.9665
1283,Transit,2014,Published Confirmed,57.248,,3.16,11.1,Mass,,,,0.84,0.91,,,,1,3,1083.91,16.229,14.097,15.9665
1284,Transit,2014,Published Confirmed,57.693,,4.8,2.9,Mass,,,,,1.1,,,,1,3,1443.21,15.805,14.487,15.8814
1285,Transit,2014,Published Confirmed,77.083,,4.6,2.7,Mass,,,,,1.1,,,,1,3,1443.21,15.805,14.487,15.8814
1286,Transit,2012,Published Confirmed,13.849039,,1.582,5.56,Mass,,,,1.63,1.03,,,,1,2,527.956,11.941,10.788,12.0767
1287,Transit,2012,Published Confirmed,13.848,,1.5,3.9,Mass,,,,,1.0,,,,1,2,527.956,11.941,10.788,12.0767
1288,Transit,2012,Published Confirmed,13.86825,,1.498,3.83,Mass,0.0,,5979.0,1.63,1.03,-0.18,[Fe/H],4.1,1,2,527.956,11.941,10.788,12.0767
1289,Transit,2012,Published Confirmed,13.83989,0.1153,1.486,4.45,Mass,0.039,978.0,5911.0,1.63,1.07,-0.2,[m/H],4.04,1,2,527.956,11.941,10.788,12.0767
1290,Transit,2012,Published Confirmed,16.233,,3.8,7.5,Mass,,,,,1.0,,,,1,2,527.956,11.941,10.788,12.0767
1291,Transit,2012,Published Confirmed,16.23855,0.1283,3.679,8.08,Mass,0.033,928.0,5911.0,1.63,1.07,-0.2,[m/H],4.04,1,2,527.956,11.941,10.788,12.0767
1292,Transit,2012,Published Confirmed,16.21865,,3.679,7.13,Mass,0.0,,5979.0,1.63,1.03,-0.18,[Fe/H],4.1,1,2,527.956,11.941,10.788,12.0767
1293,Transit,2012,Published Confirmed,16.2318713,,3.692,9.61,Mass,,,,1.63,1.03,,,,1,2,527.956,11.941,10.788,12.0767
1294,Transit,2014,Published Confirmed,7.542,,2.41,66.4,Mass,,,,2.13,1.28,,,,1,3,762.596,13.472,11.697,13.316
1295,Transit,2013,Published Confirmed,13.3675,,0.32,10.0,Mass,,,5417.0,0.77,0.8,-0.32,[Fe/H],4.57,1,4,63.9207,9.770001,7.942,9.54988
1296,Transit,2013,Published Confirmed,13.36731,,0.296,3.1783,Mass,0.0,,5417.0,0.79,0.87,-0.32,[Fe/H],4.57,1,4,63.9207,9.770001,7.942,9.54988
1297,Transit,2013,Published Confirmed,21.302,,0.75,12.0,Mass,,,5417.0,0.77,0.8,-0.32,[Fe/H],4.57,1,4,63.9207,9.770001,7.942,9.54988
1298,Transit,2013,Published Confirmed,39.792,,2.0,62.5,Mass,,,,0.77,0.8,,,,1,4,63.9207,9.770001,7.942,9.54988
1299,Transit,2013,Published Confirmed,39.7922,,1.94,12.2,Mass,,,5417.0,0.77,0.8,-0.32,[Fe/H],4.57,1,4,63.9207,9.770001,7.942,9.54988
1300,Transit,2012,Published Confirmed,105.599,0.4632,4.3,122.0,Mass,0.032,475.0,5623.0,1.75,0.94,-0.11,[m/H],3.93,2,1,1174.59,14.015,12.342,13.9066
1301,Transit,2014,Published Confirmed,10.044,,2.79,12.8,Mass,,,,1.15,1.09,,,,1,3,1432.61,15.76,13.819,15.192
1302,Transit,2014,Published Confirmed,15.162,,3.1,13.2,Mass,,,,1.15,1.09,,,,1,3,1432.61,15.76,13.819,15.192
1303,Transit,2011,Published Confirmed,21.08721,0.1635,13.899,6388.383,Mass,0.13,,6350.0,1.4,1.29,0.1,,,1,1,1057.41,14.355,12.918,14.2622
1304,Transit,2011,Published Confirmed,21.087168,0.1539,12.24,5689.157,Mass,,851.0,6260.0,1.23,1.08,-0.29,[Fe/H],4.29,1,1,1057.41,14.355,12.918,14.2622
1305,Transit,2011,Published Confirmed,21.0874,0.155,13.68,5720.7,Mass,0.121,905.0,6260.0,1.39,1.1,-0.29,[Fe/H],4.1,1,1,1057.41,14.355,12.918,14.2622
1306,Transit,2011,Published Confirmed,21.08721,0.164,13.9,6388.1,Mass,0.112,897.0,6350.0,1.4,1.29,0.1,[Fe/H],4.4,1,1,1057.41,14.355,12.918,14.2622
1307,Transit,2013,Published Confirmed,42.994,,3.5,75.5,Mass,,,,1.06,0.85,,,4.32,1,2,223.757,12.259,10.285,11.8286
1308,Transit,2013,Published Confirmed,88.505,,5.3,17.9,Mass,,,,1.06,0.85,,,4.32,1,2,223.757,12.259,10.285,11.8286
1309,Transit,2009,Published Confirmed,3.21346,0.0456,4.002,24.472,Mass,0.0,1650.0,5857.0,1.49,1.22,0.17,[Fe/H],4.17,1,1,487.916,12.285,10.805,12.1577
1310,Transit,2009,Published Confirmed,3.213658,0.0449,4.125,23.83725,Mass,,1620.0,5857.0,1.48,1.17,0.17,[Fe/H],4.17,1,1,487.916,12.285,10.805,12.1577
1311,Transit,2010,Published Confirmed,6.8731697,0.0802,16.141,686.5128,Mass,,1744.0,6510.0,2.48,1.46,0.1,[Fe/H],3.81,1,1,2305.01,14.657,13.27,14.5591
1312,Transit,2010,Published Confirmed,6.87349,0.0795,14.235,673.7996,Mass,,1666.0,6510.0,2.24,1.42,0.1,[Fe/H],3.89,1,1,2305.01,14.657,13.27,14.5591
1313,Transit,2010,Published Confirmed,6.8731697,0.0804,16.141,657.9081,Mass,0.15,,6510.0,2.48,1.46,0.1,,,1,1,2305.01,14.657,13.27,14.5591
1314,Transit,2010,Published Confirmed,6.87349,0.08,13.11,699.2,Mass,0.0,1620.0,6510.0,2.13,1.48,0.1,[Fe/H],3.94,1,1,2305.01,14.657,13.27,14.5591
1315,Transit,2014,Published Confirmed,2.42629,,1.43,6.35,Mass,,,5538.0,1.07,1.07,0.18,[Fe/H],4.41,1,2,364.03,12.603,10.97,12.4897
1316,Transit,2014,Published Confirmed,4.62332,,0.85,2.71,Mass,,,5538.0,1.07,1.07,0.18,[Fe/H],4.41,1,2,364.03,12.603,10.97,12.4897
1317,Transit,2014,Published Confirmed,0.66931,,1.07,3.2,Mass,,,5476.0,1.01,1.0,0.33,[Fe/H],4.43,1,2,338.368,12.603,10.911,12.5074
1318,Radial Velocity,2014,Published Confirmed,3000.0,,,4000.0,Mass,,,5476.0,1.01,1.0,0.33,[Fe/H],4.43,1,2,338.368,12.603,10.911,12.5074
1319,Transit,2014,Published Confirmed,2.46502,,0.82,5.0,Mass,,,6104.0,1.23,1.08,-0.2,[Fe/H],4.29,1,1,88.7832,8.834,7.486,8.6992
1320,Transit,2014,Published Confirmed,68.9584,,1.19,22.0,Mass,,,5460.0,0.89,0.92,0.08,[Fe/H],4.5,1,1,68.173,9.636,7.768,9.39109
1321,Transit,2011,Published Confirmed,1.8555582,0.03097,14.46,179.89178,Mass,0.21,,5750.0,1.29,1.15,0.38,,,1,1,1093.08,14.509,12.892,14.413
1322,Transit,2011,Published Confirmed,1.8555588,0.02895,9.55,156.69019,Mass,,1554.0,5660.0,0.94,0.94,-0.09,[Fe/H],4.47,1,1,1093.08,14.509,12.892,14.413
1323,Transit,2011,Published Confirmed,1.855558,0.03,9.98,174.8,Mass,0.0,1730.0,5620.0,1.02,1.12,0.29,[Fe/H],4.47,1,1,1093.08,14.509,12.892,14.413
1324,Transit,2011,Published Confirmed,1.8555577,0.02396,11.657,177.9848,Mass,,1770.0,5620.0,1.02,1.12,0.29,[Fe/H],4.47,1,1,1093.08,14.509,12.892,14.413
1325,Transit,2011,Published Confirmed,1.8555582,0.03101,14.46,177.98,Mass,0.0,1790.0,5750.0,1.29,1.15,0.38,[Fe/H],4.28,1,1,1093.08,14.509,12.892,14.413
1326,Transit,2013,Published Confirmed,3.005156,0.0375,2.401,25.6,Mass,0.146,1138.0,,0.82,0.87,,,,2,4,153.676,12.448,10.062,12.2327
1327,Transit,2016,Published Confirmed,7.834435,0.0739,4.421,26.4,Mass,0.108,838.0,,0.82,0.87,,,,2,4,153.676,12.448,10.062,12.2327
1328,Transit,2018,Published Confirmed,58.02035,0.279,3.319,15.2,Mass,0.128,410.0,,0.82,0.87,,,,2,4,153.676,12.448,10.062,12.2327
1329,Transit Timing Variations,2018,Published Confirmed,31.509728,0.186,,10.8,Mass,0.016,503.0,,0.82,0.87,,,,2,4,153.676,12.448,10.062,12.2327
1330,Transit,2014,Published Confirmed,1.7208612,0.02961,14.852,294.62841,Mass,0.076,,5750.0,1.29,1.17,0.27,,,1,1,1086.24,14.399,12.837,14.2486
1331,Transit,2014,Published Confirmed,1.7208604,0.02897,15.031,299.07803,Mass,,1850.0,5750.0,1.29,1.17,0.27,[Fe/H],4.3,1,1,1086.24,14.399,12.837,14.2486
1332,Transit,2014,Published Confirmed,1.72086123,0.02959,14.852,298.43,Mass,0.0038,,5750.0,1.29,1.17,0.27,[Fe/H],4.3,1,1,1086.24,14.399,12.837,14.2486
1333,Transit,2014,Published Confirmed,66.262,0.3553,4.347,67.0,Mass,0.1181,,4700.0,0.78,0.82,-0.2,[Fe/H],4.57,2,1,847.536,15.885,13.415,15.5943
1334,Transit Timing Variations,2014,Published Confirmed,4.7,,1.71,3.5,Mass,,,,0.95,0.89,,,,1,2,413.46,13.378,11.698,13.321
1335,Transit Timing Variations,2014,Published Confirmed,7.171,,3.01,29.9,Mass,,,,0.95,0.89,,,,1,2,413.46,13.378,11.698,13.321
1336,Transit Timing Variations,2014,Published Confirmed,4.176,,1.21,119.9,Mass,,,,0.64,0.67,,,,1,2,530.487,16.142,13.378,15.841
1337,Transit Timing Variations,2014,Published Confirmed,6.319,,2.48,58.2,Mass,,,,1.07,1.0,,,,1,2,690.819,14.166,12.51,14.0197
1338,Transit Timing Variations,2014,Published Confirmed,12.331,,2.31,11.0,Mass,,,,0.81,0.9,,,,1,2,973.989,15.864,13.922,15.8658
1339,Transit,2014,Published Confirmed,86.67856,,13.45,349.61125,Mass,0.2,,5820.0,1.09,0.98,-0.05,[M/H],4.35,1,2,1002.53,14.824,13.103,14.649
1340,Transit,2014,Published Confirmed,86.679,,13.451,349.613,Mass,,,6029.0,1.6,1.29,0.31,[Fe/H],,1,2,1002.53,14.824,13.103,14.649
1341,Transit,2014,Published Confirmed,69.7546,0.37,10.8,794.5,Mass,0.833,,6430.0,1.74,1.39,0.176,[Fe/H],4.1,1,2,1011.36,13.089,11.859,12.9642
1342,Transit,2014,Published Confirmed,69.7547,0.3704,10.761,820.0014,Mass,0.8,,6430.0,1.75,1.39,0.176,,,1,2,1011.36,13.089,11.859,12.9642
1343,Transit Timing Variations,2014,Published Confirmed,675.47,1.68,,2320.1,Mass,0.184,,6430.0,1.74,1.39,0.176,[Fe/H],4.1,1,2,1011.36,13.089,11.859,12.9642
1344,Transit,2014,Published Confirmed,7.8914483,0.082,12.89,136.66,Mass,,,5972.0,1.24,1.15,0.23,[Fe/H],4.31,1,1,722.795,13.524,12.041,13.4233
1345,Transit,2014,Published Confirmed,7.8914483,0.0813,12.89,155.7367,Mass,0.55,,5972.0,1.24,1.15,0.23,,,1,1,722.795,13.524,12.041,13.4233
1346,Transit,2014,Published Confirmed,2.68432848,0.0396,13.45,228.83,Mass,,,5790.0,0.99,1.07,0.26,[Fe/H],4.57,1,1,758.753,14.462,12.779,14.28
1347,Transit,2014,Published Confirmed,2.6843285,0.03585,13.361,189.101,Mass,0.019,1605.0,5560.0,0.95,0.85,-0.1,[M/H],4.41,1,1,758.753,14.462,12.779,14.28
1348,Transit,2014,Published Confirmed,2.6843285,0.03582,13.361,192.60498,Mass,0.079,,5560.0,0.95,0.85,0.1,,,1,1,758.753,14.462,12.779,14.28
1349,Transit,2014,Published Confirmed,3.3118644,0.04365,9.976,341.98508,Mass,0.076,,5460.0,0.94,1.01,0.44,,,1,2,698.646,14.429,12.47,14.229
1350,Transit,2014,Published Confirmed,3.3118644,0.044,9.98,327.35,Mass,,,5460.0,0.94,1.01,0.44,[Fe/H],4.5,1,2,698.646,14.429,12.47,14.229
1351,Transit,2014,Published Confirmed,3.79701816,0.0464,10.962,79.45,Mass,0.33,1070.0,5170.0,0.86,0.93,0.24,[Fe/H],4.54,1,1,646.647,14.845,12.806,14.7301
1352,Transit,2014,Published Confirmed,3.79701816,0.04652,10.962,71.82958,Mass,0.2,,5170.0,0.86,0.93,0.24,,,1,1,646.647,14.845,12.806,14.7301
1353,Transit,2014,Published Confirmed,3.21751883,0.04135,12.218,107.10871,Mass,0.12,,5725.0,0.92,0.91,0.21,,,1,1,843.695,15.032,13.212,14.8069
1354,Transit,2014,Published Confirmed,3.21751883,0.0414,12.22,108.06,Mass,0.18,1300.0,5725.0,0.92,0.91,-0.21,[Fe/H],4.47,1,1,843.695,15.032,13.212,14.8069
1355,Transit,2014,Published Confirmed,10.290994,0.0913,13.787,92.80636,Mass,0.27,,5800.0,1.35,0.96,0.19,,,1,1,1017.8,14.301,12.777,14.1964
1356,Transit,2014,Published Confirmed,10.290994,0.091,13.79,92.17,Mass,0.57,1100.0,5800.0,1.35,0.96,-0.19,[Fe/H],4.14,1,1,1017.8,14.301,12.777,14.1964
